113	5	0	1	R
114	5	0	1	R
123	5	0	0	S
124	5	0	0	S
133	5	0	2	T
134	5	0	2	T

213	4	0	0	O
214	4	0	0	O
211	4	1	0	O
212	4	2	0	O
215	4	3	0	O
216	4	4	0	O
223	4	0	1	P
224	4	0	1	P
221	4	1	1	P
222	4	2	1	P
225	4	3	1	P
226	4	4	1	P
233	4	0	2	Q
234	4	0	2	Q

312	3	2	1	L
311	3	1	1	L
321	3	1	0	M
322	3	2	0	M
331	3	1	2	N
332	3	2	2	N

411	2	1	0	I
412	2	2	0	I
421	2	1	1	J
422	2	2	1	J
431	2	1	2	K
432	2	2	2	K

515	0	5	1	A
516	0	6	1	A
525	0	5	0	B
526	0	6	0	B
535	0	5	2	C
536	0	6	2	C
545	0	5	3	D
546	0	6	3	D

615	1	5	0	E
616	1	6	0	E
625	1	5	1	F
626	1	6	1	F
635	1	5	2	G
636	1	6	2	G
645	1	5	3	H
646	1	6	3	H

000	0	0	0	X
000	0	0	0	X
000	0	0	0	X
